번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보(x),좌표정보(y)
40,660170.0,경상남도 진주시 장대동 137-2,경상남도 진주시 진양호로 582 (장대동),52757.0,우성물푸레,299101.012205652,188850.862693955
41,660806.0,"경상남도 진주시 상대동 291-5 2,4층","경상남도 진주시 동진로119번길 6 (상대동, 2,4층)",52788.0,다인사우나,300533.580623074,187291.964221824
42,660921.0,경상남도 진주시 금산면 장사리 987-4 번지 1층,경상남도 진주시 금산면 금산순환로22번길 4 (번지 1층),52630.0,굿모닝사우나 금산점,304386.298482034,191342.302646451
43,660809.0,경상남도 진주시 상봉동 1060-14,경상남도 진주시 북장대로 82 (상봉동),52662.0,시민탕,297619.450005152,189204.68487666
44,660809.0,경상남도 진주시 상봉동 1032-1,경상남도 진주시 창렬로 162 (상봉동),52662.0,일신탕,297820.657693404,189407.112597574
45,627874.0,경상남도 밀양시 무안면 무안리 813-7,경상남도 밀양시 무안면 사명로 502-2,50408.0,대호목욕탕,349874.191617675,220103.913607151
46,627914.0,경상남도 밀양시 상남면 예림리 1137,경상남도 밀양시 상남면 운하길 2,50451.0,예림사우나,359474.883416586,219819.475354203
47,627120.0,"경상남도 밀양시 교동 815-1 ,2","경상남도 밀양시 교동로1길 6 (교동,,2)",50420.0,목간통,358966.776263584,224130.595955581
48,590983.0,전라북도 남원시 도통동 147번지,전라북도 남원시 농고길 21 (도통동),55752.0,수정탕,235601.100464,213022.791516
49,590050.0,전라북도 남원시 하정동 90번지,전라북도 남원시 하정2길 1 (하정동),55770.0,남경탕,234567.044166,211961.745874
50,590812.0,전라북도 남원시 주천면 호기리 487-11번지,전라북도 남원시 주천면 원천로 345-25,55802.0,남원한증원,238672.765315,211615.23559
51,590843.0,전라북도 남원시 인월면 인월리 230-6번지,전라북도 남원시 인월면 인월로 87-4,55715.0,지리산 목욕탕,254829.886724,218221.525458
52,590851.0,전라북도 남원시 산내면 대정리 692-5번지,전라북도 남원시 산내면 대정길 21,55804.0,산내면작은목욕탕 지리산골 품안목욕탕,256478.468287,213437.477983
53,590834.0,전라북도 남원시 운봉읍 서천리 347-11번지,전라북도 남원시 운봉읍 황산로 1083,55718.0,운봉읍작은목욕탕,247968.973473,215695.582475
54,590985.0,전라북도 남원시 동충동 4-26 외3필지,전라북도 남원시 동림로 29 (동충동),55760.0,아성사우나,235257.139543,212503.276907
55,590070.0,전라북도 남원시 쌍교동 14-3번지,전라북도 남원시 남문로 486 (쌍교동),55774.0,남원사우나,234852.381872,211900.241207
56,579893.0,전라북도 부안군 진서면 진서리 3-37번지,전라북도 부안군 진서면 청자로 1275,56345.0,부안한증막,166290.051297,234526.214608
57,595822.0,전라북도 순창군 동계면 현포리 516,전라북도 순창군 동계면 동계1길 15,56029.0,동계주민종합복지센터목욕탕,221955.854075,215762.840464
58,595800.0,전라북도 순창군 순창읍 566,전라북도 순창군 순창읍 순창6길 10,56045.0,맥반석목욕탕,213015.85748,208457.203049
59,595851.0,전라북도 순창군 금과면 매우리 136-4번지,전라북도 순창군 금과면 매우1길 14,56053.0,금과면작은목욕탕,207769.981657,204502.226838
60,595811.0,전라북도 순창군 적성면 고원리 304-12번지,전라북도 순창군 적성면 적성로 124,56023.0,적성면 작은목욕탕,218757.72463,210817.267353
61,595893.0,전라북도 순창군 쌍치면 쌍계리 309-5번지,전라북도 순창군 쌍치면 쌍계로 30-4,56008.0,쌍치면 작은목욕탕,200074.321286,222232.478041
62,595912.0,전라북도 순창군 인계면 도룡리 938-3번지,전라북도 순창군 인계면 인덕로 222,56017.0,인계면작은목욕탕,212819.56089,212420.373469
63,595831.0,전라북도 순창군 유등면 외이리 607-4번지,전라북도 순창군 유등면 외이2길 4,56025.0,유등면 작은목욕탕,216864.104447,206884.184517
64,579802.0,전라북도 부안군 부안읍 동중리 134-5,전라북도 부안군 부안읍 시장길 27-1,56308.0,세종목욕탕,175993.319629,247541.68774
65,579805.0,전라북도 부안군 부안읍 봉덕리 764-2번지,전라북도 부안군 부안읍 오정2길 38,56313.0,부안장수옥사우나,176046.885948,247271.671722
66,579803.0,전라북도 부안군 부안읍 서외리 3-1번지 외1필,전라북도 부안군 부안읍 번영로 145 (외1필),56308.0,새만금사우나,176082.131183,247419.861107
67,579895.0,전라북도 부안군 진서면 곰소리 602번지,전라북도 부안군 진서면 곰소항길 10-3,56346.0,곰소뽕나무황토 한증막,164062.622481,232157.102971
68,579923.0,전라북도 부안군 주산면 사산리 795-8번지,전라북도 부안군 주산면 종유로 44-21,56327.0,개암힐링찜질방,170509.608192,238862.258326
69,579841.0,전라북도 부안군 하서면 석상리 180-4번지,전라북도 부안군 하서면 변산로 663-7,56333.0,하서 고인돌 목욕탕,169111.173037,245909.726445
70,579852.0,전라북도 부안군 변산면 대항리 182-1,전라북도 부안군 변산면 변산로 1788,56343.0,변산해수찜. 해수탕,159091.146289,243761.717064
71,579853.0,"전라북도 부안군 변산면 도청리 612-24 외 3필지(611,612-1,산124-4)",전라북도 부안군 변산면 궁항로 72,56340.0,농협생명 변산수련원 워터가든,152619.758065,234324.391619
72,579851.0,전라북도 부안군 변산면 격포리 257,전라북도 부안군 변산면 변산해변로 51,56337.0,소노벨변산목욕장(사우나),151931.764422,237016.992538
73,579805.0,"전라북도 부안군 부안읍 봉덕리 826번지 1층, 3층","전라북도 부안군 부안읍 학동길 22 (1층, 3층)",56315.0,건강나라,176410.311378,247314.098178
74,590050.0,전라북도 남원시 하정동 218-31번지,전라북도 남원시 동헌길 11-6 (하정동),55763.0,대림탕,234183.956148,212139.41053
75,590190.0,전라북도 남원시 도통동 587-1번지,전라북도 남원시 큰들길 37 (도통동),55757.0,진영,236023.699883,213127.592789
76,590987.0,전라북도 남원시 죽항동 15-2번지,전라북도 남원시 용성로 112-1 (죽항동),55772.0,한일파크대중탕,235225.544147,212281.497727
77,590989.0,전라북도 남원시 향교동 177번지,전라북도 남원시 옥정4길 5 (향교동),55739.0,발리목욕탕,235087.207671,212899.061871
78,590983.0,전라북도 남원시 도통동 140-3번지,전라북도 남원시 농고길 13 (도통동),55752.0,24시 녹주사우나,235619.023461,212969.731283
79,590861.0,전라북도 남원시 아영면 인풍리 201-1번지,전라북도 남원시 아영면 아백로 77,55713.0,황토옹기한증탕,254050.320702,220879.057166
80,590812.0,전라북도 남원시 주천면 용담리 386-2번지,전라북도 남원시 주천면 원천로 217,55802.0,(주)교원프라퍼티 스위트호텔 남원,237688.619497,212172.545797
81,590851.0,전라북도 남원시 산내면 대정리 805-1번지,전라북도 남원시 산내면 천왕봉로 626-25,55804.0,일성콘도목욕장,256317.860609,213898.915463
82,590980.0,전라북도 남원시 금동 252-1번지,전라북도 남원시 의총로 61 (금동),55768.0,성림목욕탕,234087.203174,211920.977435
83,590811.0,전라북도 남원시 주천면 호경리 470-45번지 외2필지,전라북도 남원시 주천면 정령치로 160,55802.0,육모정허브찜질방,240982.157101,210044.317222
84,590190.0,전라북도 남원시 도통동 561-2번지,"전라북도 남원시 용성로 274 (도통동, 2.3.4층)",55755.0,부영사우나,236221.073175,213557.069032
85,590150.0,전라북도 남원시 산곡동 15-2번지,전라북도 남원시 장승안길 2-9 (산곡동),55730.0,하이츠목욕장,233864.48521,213448.898795
86,590986.0,전라북도 남원시 동충동 252-1번지,전라북도 남원시 봉당길 8 (동충동),55749.0,하은사우나,234759.486515,212542.400102
87,590982.0,전라북도 남원시 금동 418-11번지,전라북도 남원시 금하정1길 7-15 (금동),55768.0,원대중탕,233936.855538,211910.235873
88,595881.0,전라북도 순창군 복흥면 정산리 326-3번지,전라북도 순창군 복흥면 추령로 1161,56005.0,복흥면 작은목욕탕,193635.53899,215077.82745
89,595805.0,전라북도 순창군 순창읍 순화리 462-1번지,전라북도 순창군 순창읍 옥천동길 40,56038.0,옥천목욕탕,212335.263523,208485.490903
90,595841.0,전라북도 순창군 풍산면 반월리 30-41번지,전라북도 순창군 풍산면 금풍로 1006-9,56054.0,풍산면작은목욕탕,212521.484394,204057.26543
91,595861.0,전라북도 순창군 팔덕면 용산리 341번지,전라북도 순창군 팔덕면 강천로 352,56020.0,팔덕면작은목욕탕,208591.492519,210386.535185
92,355934.0,충청남도 보령시 대천동 298-3,충청남도 보령시 남대천로 75 (대천동),33460.0,구시해수목욕탕,163454.087818,316636.682099
93,355933.0,충청남도 보령시 대천동 209-22,충청남도 보령시 명동로 10 (대천동),33461.0,초원목욕탕,163675.784714,316820.532114
94,355937.0,충청남도 보령시 동대동 818-13,충청남도 보령시 원동1길 84 (동대동),,대림목욕탕,164058.985235,316979.426276
95,355931.0,충청남도 보령시 대천동 442-6,충청남도 보령시 보령북로 111 (대천동),33454.0,파레스사우나,163529.753595,317351.788051
96,355935.0,충청남도 보령시 동대동 501-1,충청남도 보령시 매방아1길 12-4,33433.0,포시즌 불가마 사우나,164795.99711,316618.283071
97,340924.0,충청남도 예산군 덕산면 신평리 170-7,충청남도 예산군 덕산면 덕산온천로 293,32406.0,덕화온천,169602.643285,354773.329974
98,340804.0,충청남도 예산군 예산읍 예산리 204,충청남도 예산군 예산읍 천변로 205,32436.0,동원,186611.439576,353146.785972
99,340924.0,충청남도 예산군 덕산면 사동리 351,충청남도 예산군 덕산면 온천단지3로 84,32406.0,싸이판온천,168868.819301,354870.231981
100,340904.0,충청남도 예산군 삽교읍 신리 435번지,충청남도 예산군 삽교읍 수암산로 210,32416.0,세심천온천호텔목욕장,170505.676987,353856.06626
