주차장명,주차장유형,소재지도로명주소,소재지지번주소,위도,경도,제공기관명
선화동제3노외,노외,대전광역시 중구 선화로 50,대전광역시 중구 선화동 889,36.32671701,127.4144851,대전광역시 중구
산성시장제2노외,노외,대전광역시 중구 대둔산로 412,대전광역시 중구 산성동 284-9,36.305887,127.3870556,대전광역시 중구
산성시장제1노외,노외,대전광역시 중구 대둔산로408번길 28,대전광역시 중구 산성동 282-5,36.30557678,127.3880136,대전광역시 중구
선화동제1노외,노외,대전광역시 중구 대종로561번길 15,대전광역시 중구 선화동 136-11,36.33230442,127.4202841,대전광역시 중구
"홍도빌라 주변(흑정골길, 3길, 6길)",노상,대전광역시 동구 옛신탄진로 55번길,대전광역시 동구 홍도동 175-15~139-11번지선,,,대전광역시
가양동 노외공영주차장,노외,,대전광역시 동구 가양동 435-16,,,대전광역시
가양동체육센터앞주차장,노외,대전광역시 동구 가양로,대전광역시 동구 가양동 709-2,,,대전광역시
낭월동 공한지 주차장,노외,,대전광역시 동구 낭월동 584,,,대전광역시
대동공영주차장,노외,대전광역시 동구 대동로 49,대전광역시 동구 대동 25-15,,,대전광역시
대동복지센터주차장,노외,대전광역시 동구 이화로35번길,대전광역시 동구 대동 1-8,,,대전광역시
대동이스트시티옆 공영주차장,노외,,대전광역시 동구 대동 대동 107-37,,,대전광역시
"홍도동 평화로운@, 대호빌라 주변",노상,대전광역시 동구 홍도로 33번길,대전광역시 동구 홍도동 89-92번지선,,,대전광역시
홍도동 시영(아) 1동 옆,노상,대전광역시 동구 대전로1002번길,대전광역시 동구 홍도동 137-3~137-3번지선,,,대전광역시
홍도동 시영(아) 3동 담길,노상,대전광역시 동구 흑정골길,대전광역시 동구 홍도동 135-2번지선,,,대전광역시
홍도동 시영아파트 주변,노상,"대전광역시 동구 동산1길, 흑정골길, 동산5길","대전광역시 동구 동산1길, 흑정골길, 동산5길",,,대전광역시
용호동주차장,노외,대전광역시 대덕구 신탄진로 756번안길,대전광역시 대덕구 용호동 177-1,36.436075701,127.4509039142,대전광역시
삼정동 제1공영주차장,노외,대전광역시 대덕구 대청로 424번길,대전광역시 대덕구 삼정동 310-1,36.4500112782,127.4668463,대전광역시
중리행복길①공영주차장,노외,대전광역시 대덕구 중리남로27번길 5,대전광역시 대덕구 중리동 196-10,36.3607014176,127.4288143,대전광역시
중리행복길②공영주차장,노외,대전광역시 대덕구 중리동로17번길 32,대전광역시 대덕구 중리동 197-17,36.360553,127.427937,대전광역시
중리만남공영주차장,노외,대전광역시 대덕구 중리남로8번길 3,대전광역시 대덕구 중리동 180-1,36.36149254,127.4305618,대전광역시
비래동 제2공영주차장,노외,대전광역시 대덕구 비래골길,대전광역시 대덕구 비래동 412-2,36.3662118803,127.4474970771,대전광역시
중리구봉공영주차장,노외,대전광역시 대덕구 중리남로40번길 13,대전광역시 대덕구 중리동 164-5,36.361489,127.427061564,대전광역시
용호마을테마먹거리촌공영주차장,노외,대전광역시 대덕구 대청로 238,대전광역시 대덕구 용호동 44-2,36.4483128,127.4512963186,대전광역시
한촌공원 주차장,노외,대전광역시 대덕구 한밭대로 114번길 34-8,대전광역시 대덕구 중리동 223-1,36.3571560421,127.421785933,대전광역시
비래동로 31번길 공영주차장,노외,대전광역시 대덕구 비래동로31번길 13,대전광역시 대덕구 비래동 128-4,36.3566123568,127.4497836684,대전광역시
비래동로 23번길 공영주차장,노외,대전광역시 대덕구 비래동로23번길 28,대전광역시 대덕구 비래동 128-10,36.356673,127.4490228824,대전광역시
회덕동 공영주차장,노외,대전광역시 대덕구 대전로 1378번길,대전광역시 대덕구 읍내동 247-3,36.3767305,127.4217681,대전광역시
산디마을 공영주차장,노외,대전광역시 대덕구 산디로,대전광역시 대덕구 장동 670,36.3952939,127.4424192,대전광역시
석봉과선교 철도주변 공영주차장,노외,대전광역시 대덕구 석봉로58번길,대전광역시 대덕구 석봉동 387-3,36.4465709636,127.428665822,대전광역시
새뜸마을안길 공영주차장,노외,대전광역시 대덕구 산디로132번길,대전광역시 대덕구 장동 783,36.4028775168,127.4359917,대전광역시
장동욕골지구 공영주차장,노외,대전광역시 대덕구 장동로 223-10,대전광역시 대덕구 장동 367-4,36.4140307,127.4380339464,대전광역시
산중골주차장,노외,대전광역시 대덕구 계족로740번길 80,대전광역시 대덕구 읍내동 11-1,36.3782574602,127.4314525,대전광역시
신대지구 제1공영주차장,노외,대전광역시 대덕구 회덕로 21번길,대전광역시 대덕구 신대동 357-5,36.3977378,127.4205356,대전광역시
신대지구 제2공영주차장,노외,대전광역시 대덕구 회덕로 33번길,대전광역시 대덕구 신대동 238-1,36.3982007868,127.4187870064,대전광역시
비래동공영주차장,노외,대전광역시 대덕구 비래동로16번길 49,대전광역시 대덕구 비래동 143-7,36.354602,127.4525444018,대전광역시
대덕산업단지주차장,노외,대전광역시 대덕구 문평동로 16,대전광역시 대덕구 문평동 80-1,36.4461062049,127.4035878,대전광역시
이현동주차장,노외,대전광역시 대덕구 대청호수로1326번길 75,대전광역시 대덕구 이현동 190,36.4137390151,127.4660133613,대전광역시
남경지구 제1공영주차장,노외,대전광역시 대덕구 남경마을로 3번길,대전광역시 대덕구 신탄진동 266-15,36.4435272113,127.431785475,대전광역시
남경지구 제2공영주차장,노외,대전광역시 대덕구 남경마을로 9번길,대전광역시 대덕구 신탄진동 295-128,36.4428146,127.4304232416,대전광역시
남경지구 제3공영주차장,노외,대전광역시 대덕구 남경마을로 9번길,대전광역시 대덕구 신탄진동 295-137,36.4429067,127.4314271042,대전광역시
송촌도서관 주차장,노외,대전광역시 대덕구 송촌로 59,대전광역시 대덕구 송촌동 165,36.360082,127.4401573,대전광역시
벌말지구 주차장,노외,대전광역시 대덕구 대청로 526번길 33,대전광역시 대덕구 미호동 220-6,36.4672054917,127.4708973,대전광역시
중리미래공영주차장,노외,대전광역시 대덕구 중리로75번길 9,대전광역시 대덕구 중리동 363-23,36.3656212,127.4244456,대전광역시
신흥동 제1치수교 하상주차장,노외,대전광역시 동구 대동천우안2길,대전광역시 동구 대동천,,,대전광역시
동춘당로94번길 노상주차장,노상,대전광역시 대덕구 동춘당로94번길,대전광역시 대덕구 송촌동 525,36.3676139407,127.4378139512,대전광역시
비래동로노상공영주차장,노상,대전광역시 대덕구 비래동로 10,대전광역시 대덕구 비래동 140-5,36.3549079867,127.4500228,대전광역시
계족산로81번길 노상주차장,노상,대전광역시 대덕구 계족산로81번길,대전광역시 대덕구 송촌동 534,36.3652487348,127.4387394196,대전광역시
동춘당생애길①공영주차장,노외,대전광역시 대덕구 계족산로 2,대전광역시 대덕구 중리동 507-1,36.3613055276,127.4320468,대전광역시
동춘당생애길②공영주차장,노외,대전광역시 대덕구 계족산로 2,대전광역시 대덕구 중리동 506,36.3613055276,127.4320468,대전광역시
중리정려각공영주자장,노외,대전광역시 대덕구 송촌북로5번길 10,대전광역시 대덕구 중리동 498-2,36.3629023,127.4363864,대전광역시
송촌공영주차장,노외,대전광역시 대덕구 계족산로81번길 11,대전광역시 대덕구 송촌동 478-1,36.3636408,127.4399312,대전광역시
송촌먹자골목공영주차장,노외,대전광역시 대덕구 송촌북로32번길 28,대전광역시 대덕구 송촌동 458,36.3654744,127.4377262,대전광역시
송촌주민센터공영주차장,노외,대전광역시 대덕구 동춘당로114번길 9,대전광역시 대덕구 송촌동 460-1,36.3670091897,127.4382045,대전광역시
읍내어울림공영주차장,노외,대전광역시 대덕구 계족로 728,대전광역시 대덕구 읍내동 575-5,36.3763015,127.4277683,대전광역시
송촌소리공영주차장,노외,대전광역시 대덕구 계족산로81번길 116,대전광역시 대덕구 송촌동 448-1,36.36731791,127.4364683,대전광역시
송촌대양공영주차장,노외,대전광역시 대덕구 계족산로36번길 71,대전광역시 대덕구 송촌동 487-1,36.362229,127.439054,대전광역시
송촌진가쟁이공영주차장,노외,대전광역시 대덕구 선비마을로5번길 26,대전광역시 대덕구 송촌동 505-2,36.3628019,127.4451812,대전광역시
법동생활체육공영주차장,노외,대전광역시 대덕구 선비마을로 260,대전광역시 대덕구 법동 440-1,36.3749852,127.4283643274,대전광역시
대화동 두레 주차장,노외,대전광역시 대덕구 대화15길 34,대전광역시 대덕구 대화동 16-25,36.3634035,127.417612,대전광역시
신탄진역앞공영주차장,노외,대전광역시 대덕구 신탄진동로7번길 64,대전광역시 대덕구 신탄진동 140-25,36.4504164055,127.4297235,대전광역시
"용운동 삼정하이츠, 문충사 주변",노상,대전광역시 동구 동부로73번길,"대전광역시 동구 용운동 363, 356-1번지선",,,대전광역시
용운동 선량마을 노상주차장,노상,대전광역시 동구 대송길 27,대전광역시 동구 용운동 54,,,대전광역시
용운동 일반통행길(하행길),노상,대전광역시 동구 계족로140번길,대전광역시 동구 용운동 447-6~489-7번지선,,,대전광역시
용운동 일방통행길(상행길),노상,대전광역시 동구 용운로67,대전광역시 동구 용운동 487~451-18,,,대전광역시
용운동 주공저층아파트 담길,노상,대전광역시 동구 새울로,대전광역시 동구 용운동282-277번지선,,,대전광역시
우송대학교 서 캠퍼스 후문,노상,대전광역시 동구 가양남로,대전광역시 동구 자양동 308-9~321-10번지선,,,대전광역시
원동중동 천변 노상,노상,대전광역시 동구 대전천동로,"대전광역시 동구 원동 85-61번지선, 중동 47-26번지선",,,대전광역시
자양동 동아아파트 담길,노상,대전광역시 동구 성동로,"대전광역시 동구 동아@ 102,103,105동 담길",,,대전광역시
자양동 쌍용주유소 뒷길,노상,대전광역시 동구 백룡로5번길,대전광역시 동구 자양동 193-10～197-15번지선,,,대전광역시
자양동 우송대학교 동 캠퍼스 담길,노상,대전광역시 동구 백룡길57번길,대전광역시 동구 자양동 98-17~97-3번지선,,,대전광역시
판암1동 주공(아) 207-208동 담길,노상,대전광역시 동구 판암로,대전광역시 동구 판암2차주공@ 담길,,,대전광역시
판암1동 주공(아) 209동 담길,노상,대전광역시 동구 판암로,대전광역시 동구 판암2차주공@ 담길,,,대전광역시
판암1동 주공(아) 211동 담길,노상,대전광역시 동구 판암로,대전광역시 동구 판암2차주공@ 담길,,,대전광역시
판암2동 판암면옥 옆길,노상,대전광역시 동구 옻밭5길,대전광역시 동구 판암동503-2~507-2번지선,,,대전광역시
판암IC옆(개심사 가는 방향),노상,대전광역시 동구 함지뱅이길,대전광역시 동구 판암1동 218-2번지선,,,대전광역시
판암동 복개도로 위(삼성전자 판매장 뒤),노상,대전광역시 동구 대동천우안1길,대전광역시 동구 판암2동 598,,,대전광역시
판암동 신영유통 앞,노상,대전광역시 동구 함지뱅이길,대전광역시 동구 판암동174-1,,,대전광역시
합내길(구 가양1동사무소 앞),노상,대전광역시 동구 합내로,대전광역시 동구 가양1동 446-34~530-2번지선,,,대전광역시
"현암1,8,10,11길(삼성동 343번지 주변)",노상,대전광역시 동구 대전천북로,"대전광역시 동구 삼성동 342, 343, 344, 355번지",,,대전광역시
홍도동 경성3차@~청룡@ 주변,노상,대전광역시 동구 동산초교로,대전광역시 동구 홍도동 64-1~57-5번지 주변,,,대전광역시
홍도동 동산어린이공원 주변,노상,대전광역시 동구 옛신탄진로81번길 20,대전광역시 동구 홍도동 111-1번지,,,대전광역시
대치리 공영주차장,노외,,전라남도 담양군 대전면 대치리 512-1,35.28126993,126.8865248,전라남도 담양군
진잠우체국옆,노상,"대전광역시 유성구 원내로39번길 25, (원내동)",대전광역시 유성구 원내동 92-14,36.30105629,127.3200719,대전광역시 유성구
진잠우체국 앞,노상,"대전광역시 유성구 원내로39번길 17, (원내동)",대전광역시 유성구 원내동 93-12,36.30059598,127.3199535,대전광역시 유성구
카운티스 앞,노상,,대전광역시 유성구 노은동 572,36.3704034,127.3162162,대전광역시 유성구
동원수산 앞,노상,,대전광역시 유성구 노은동 594,36.36762703,127.3192827,대전광역시 유성구
반석동공영주변,노상,,대전광역시 유성구 반석동 641,36.39130229,127.3144842,대전광역시 유성구
송강청솔@~송강@,노상,"대전광역시 유성구 와룡로136번길 15, (봉산동, 하늘바람휴먼시아)",대전광역시 유성구 봉산동 295,36.43825732,127.3824562,대전광역시 유성구
