index,구,행정동,경도,위도,이름,구분
1861,대덕구,대화동,127.407684,36.369526,카페 엘씨에르보,상권정보
2348,대덕구,덕암동,127.42038,36.447674,최고집잔치국수 신탄진점,상권정보
2351,대덕구,덕암동,127.42186,36.437035,김천순대,상권정보
2357,대덕구,덕암동,127.421585,36.436775,손짜장일번지,상권정보
2358,대덕구,덕암동,127.42386,36.434586,한일닭집식당,상권정보
2369,대덕구,덕암동,127.42097,36.43504,장모님손칼국수,상권정보
2377,대덕구,덕암동,127.421295,36.447056,이천소머리해장국 신탄진점,상권정보
2380,대덕구,덕암동,127.41857,36.428123,탐앤탐스신탄진휴게소상행선점 신탄진휴게소상행선점,상권정보
2381,대덕구,덕암동,127.42355,36.433693,한성손짜장,상권정보
2390,대덕구,덕암동,127.4214,36.42993,나 커피안,상권정보
2401,대덕구,덕암동,127.423164,36.43269,맥도날드 대전신탄진디티점,상권정보
2403,대덕구,덕암동,127.41857,36.428123,"신탄진상휴게소우동,라면매장",상권정보
2406,대덕구,덕암동,127.42283,36.425613,밥사랑고기사랑,상권정보
2409,대덕구,덕암동,127.42111,36.440205,빙그레 대전영업소,상권정보
2413,대덕구,덕암동,127.42704,36.442684,김준환의숯불에구운매운미니제주돈왕족발,상권정보
2414,대덕구,덕암동,127.42338,36.437008,59피자 덕암점,상권정보
2415,대덕구,덕암동,127.42271,36.436222,투썸플레이스 신탄진IC점,상권정보
2416,대덕구,덕암동,127.4221,36.434498,소문난김밥식당,상권정보
2417,대덕구,덕암동,127.42129,36.436005,햇잎갈비 신탄진나들목점,상권정보
2429,대덕구,덕암동,127.42189,36.436802,번성식당,상권정보
2430,대덕구,덕암동,127.424385,36.442535,복돼지한마리식당,상권정보
2431,대덕구,덕암동,127.42556,36.440678,은진손두부,상권정보
2432,대덕구,덕암동,127.4214,36.42993,길갈비빔국수전문점 신탄점,상권정보
2435,대덕구,덕암동,127.42716,36.430843,대경숯불갈비,상권정보
2443,대덕구,덕암동,127.424255,36.444187,명륜진사갈비 대전신탄진점,상권정보
