OBJECTID,adm_nm,adm_cd,adm_cd2,sgg,sido,sidonm,sggnm,adm_cd8,dong_nm,흡연위험지수,adm_nm
1059,대전광역시 서구 도안동,2503076,3017059300,30170,30,대전광역시,서구,25030512,도안동,2.565492815,대전광역시
1060,대전광역시 서구 기성동,2503071,3017060000,30170,30,대전광역시,서구,25030710,기성동,0.556123013,대전광역시
1061,대전광역시 서구 관저1동,2503072,3017059600,30170,30,대전광역시,서구,25030720,관저1동,2.685214142,대전광역시
1062,대전광역시 서구 관저2동,2503073,3017059700,30170,30,대전광역시,서구,25030730,관저2동,6.17921975,대전광역시
1063,대전광역시 서구 둔산3동,2503074,3017066000,30170,30,대전광역시,서구,25030740,둔산3동,2.973497497,대전광역시
1064,대전광역시 유성구 진잠동,2504068,3020052000,30200,30,대전광역시,유성구,25040680,진잠동,2.806830547,대전광역시
1065,대전광역시 유성구 온천2동,2504054,3020054000,30200,30,대전광역시,유성구,25040540,온천2동,6.808210921,대전광역시
1066,대전광역시 유성구 신성동,2504055,3020055000,30200,30,대전광역시,유성구,25040550,신성동,3.082068297,대전광역시
1067,대전광역시 유성구 전민동,2504057,3020057000,30200,30,대전광역시,유성구,25040570,전민동,2.935015812,대전광역시
1068,대전광역시 유성구 노은1동,2504059,3020054600,30200,30,대전광역시,유성구,25040590,노은1동,2.339908985,대전광역시
1069,대전광역시 유성구 구즉동,2504061,3020058000,30200,30,대전광역시,유성구,25040610,구즉동,2.631086773,대전광역시
1070,대전광역시 유성구 관평동,2504063,3020060000,30200,30,대전광역시,유성구,25040630,관평동,3.469567116,대전광역시
1071,대전광역시 유성구 상대동,2504070,3020052700,30200,30,대전광역시,유성구,25040700,상대동,1.492295717,대전광역시
1071,대전광역시 유성구 온천1동,2504064,3020053000,30200,30,대전광역시,유성구,25040640,온천1동,6.783157058,대전광역시
1071,대전광역시 유성구 학하동,2504069,3020052600,30200,30,대전광역시,유성구,25040690,학하동,1.789790129,대전광역시
1072,대전광역시 유성구 원신흥동,2504071,3020061000,30200,30,대전광역시,유성구,25040710,원신흥동,2.144426283,대전광역시
1073,대전광역시 유성구 노은2동,2504066,3020054700,30200,30,대전광역시,유성구,25040660,노은2동,1.794300333,대전광역시
1074,대전광역시 유성구 노은3동,2504067,3020054800,30200,30,대전광역시,유성구,25040670,노은3동,2.718850224,대전광역시
1075,대전광역시 대덕구 오정동,2505051,3023051000,30230,30,대전광역시,대덕구,25050510,오정동,2.576027907,대전광역시
1076,대전광역시 대덕구 대화동,2505052,3023052000,30230,30,대전광역시,대덕구,25050520,대화동,0.984417972,대전광역시
1077,대전광역시 대덕구 회덕동,2505053,3023052500,30230,30,대전광역시,대덕구,25050530,회덕동,1.457613911,대전광역시
1078,대전광역시 대덕구 비래동,2505054,3023053300,30230,30,대전광역시,대덕구,25050540,비래동,3.290715657,대전광역시
1079,대전광역시 대덕구 중리동,2505055,3023054600,30230,30,대전광역시,대덕구,25050550,중리동,4.564301409,대전광역시
1080,대전광역시 대덕구 법1동,2505056,3023060000,30230,30,대전광역시,대덕구,25050560,법1동,1.323318711,대전광역시
1081,대전광역시 대덕구 법2동,2505057,3023061000,30230,30,대전광역시,대덕구,25050570,법2동,1.468610793,대전광역시
1082,대전광역시 대덕구 신탄진동,2505058,3023055000,30230,30,대전광역시,대덕구,25050580,신탄진동,2.855206699,대전광역시
1083,대전광역시 대덕구 석봉동,2505059,3023056000,30230,30,대전광역시,대덕구,25050590,석봉동,2.167164674,대전광역시
1084,대전광역시 대덕구 덕암동,2505060,3023057000,30230,30,대전광역시,대덕구,25050600,덕암동,2.160755966,대전광역시
1085,대전광역시 대덕구 목상동,2505061,3023058000,30230,30,대전광역시,대덕구,25050610,목상동,1.351169906,대전광역시
1086,대전광역시 대덕구 송촌동,2505062,3023054300,30230,30,대전광역시,대덕구,25050620,송촌동,3.145454314,대전광역시
