index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1441,서울바른치과교정과치과의원,치과의원,대전서구,둔산동,대전광역시 서구 대덕대로 200 7층 (둔산동),35234,127.3785089,36.3506412
1442,서울본치과의원,치과의원,대전중구,산성동,대전광역시 중구 대둔산로408번길 5 3층 (산성동),35012,127.3868677,36.3057408
1443,서울브라운치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 둔산로 129 4층 (둔산동, 메디빌딩)",35240,127.3882963,36.351577
1444,서울비케이치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 대덕대로 179 1101호 (둔산동, 엠제이피부과굿모닝어학원빌딩)",35230,127.3768209,36.3494046
1445,서울삼성치과의원,치과의원,대전중구,오류동,대전광역시 중구 계백로 1715 1동 502호 (오류동),34909,127.4098107,36.3220645
1447,서울센트럴치과의원,치과의원,대전중구,문화동,"대전광역시 중구 계룡로 901 에이동 3층 (문화동, 서울메디칼빌딩)",34944,127.4137783,36.321862
1448,서울에스치과의원,치과의원,대전유성구,관평동,대전광역시 유성구 테크노4로 105 T PLAZA 3층 (관평동),34018,127.3897584,36.4253029
1449,서울연치과의원,치과의원,대전동구,가오동,"대전광역시 동구 은어송로 60 301호 (가오동, 지티엠빌딩)",34695,127.4561453,36.3061878
1450,서울예일치과의원,치과의원,대전중구,선화동,대전광역시 중구 중앙로 139,34838,127.4250131,36.3286309
1451,서울오라클치과교정과치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 대덕대로 182 4층 403호 (둔산동, 오라클빌딩)",35234,127.3776488,36.3492885
1452,서울좋은치과의원,치과의원,대전유성구,지족동,"대전광역시 유성구 은구비남로33번길 5 (지족동, 경남아너스빌 202,203호)",34086,127.3191382,36.3725342
1453,서울치과의원,치과의원,대전대덕구,신탄진동,대전광역시 대덕구 신탄진로 827-1 (신탄진동),34306,127.4284219,36.451322
